1101,IQUIQUE,Más de 100,Más de 100,500,ENTEL,131 equipos,631,Si,Si,No,No,Si,No,Si,Si,No,EXTERNO,INGENIERIA Y PROCESOS ELECTRONICOS CONTABLES,Si,No,No,Si,No,PRIVADA,No,No,No,Si,No,Si,No,Si,No,Si,Youtube,CONCEJO MUNICIPAL DE IQUIQUE,HTTPS://YOUTUBE.COM/@CONCEJOMUNICIPALDEIQUIQUE,No
1107,ALTO HOSPICIO,Más de 100,Más de 100,1178,GTD,2023,387,Si,Si,Si,Si,Si,Si,Si,No,No,EXTERNO,SMC,Si,Si,No,No,No,No aplica,No,No,No,No,Si,Si,No,No,Si,Si,Web municipal,CANAL MAHO (YOUTUBE)SESION CONCEJO MUNICIPAL,YOUTUBE.COM/@SESIOMESCONCEJOMAHO,Si
1401,POZO ALMONTE,Entre 50 y menos de 100,Entre 50 y menos de 100,200,MOVISTAR,2023,250,Si,Si,No,No,Si,Si,Si,No,No,EXTERNO,SMC,Si,No,No,No,Si,GOB.,No,Si,No,Si,No,Si,No,Si,Si,Si,Facebook,TAMARUGAL TV,WWW.FACEBOOK.COM/TAMARUGALTV,No
1402,CAMIÑA,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado
1403,COLCHANE,Entre 20 y menos de 50,Entre 20 y menos de 50,10,ENTEL,2023,48,No,Si,Si,Si,Si,Si,Si,No,No,EXTERNO,CAS CHILE,No,No,Si,Si,Si,GOB.,No,No,No,No,No,No,Si,No,No,Si,Facebook,HTTPS://WEB.FACEBOOK.COM/MUNICOLCHANE,HTTPS://WEB.FACEBOOK.COM/MUNICOLCHANE/VIDEOS,No
1404,HUARA,Entre 50 y menos de 100,Entre 50 y menos de 100,130,ENTEL,2023,150,No,Si,Si,Si,Si,Si,Si,Si,No,EXTERNO,GTD,Si,No,No,Si,No,No aplica,No,No,Si,Si,No,No,No,No,No,Si,Facebook,ILUSTRE MUNICIPALIDAD DE HUARA,HTTPS://WWW.FACEBOOK.COM/PROF.LE.PHP?ID=100064666692677,Si
1405,PICA,Entre 50 y menos de 100,Más de 100,25,ENTEL,2023 - 20 equipos,87,No,Si,Si,Si,Si,Si,Si,No,No,EXTERNO,CAS CHILE,No,No,No,No,No,No aplica,No,No,No,No,No,No,No,No,No,Si,Facebook - Youtube,FACEBOOK MUNICIPALIDAD PICA YOUTUBE MUNICIPIOPICA,FACEBOOK MUNICIPALIDAD PICA,No
2101,ANTOFAGASTA,Más de 100,Más de 100,300,MOVISTAR,2023 - 46 equipos,757,Si,Si,No,No,Si,Si,Si,No,Si,EXTERNO,INSICO,Si,Si,Si,Si,Si,GOB - PRIVADA,No,Si,No,Si,No,Si,Si,No,Si,Si,Facebook  - Youtube,MUNICIPALIDAD DE ANTOFAGASTA,HTTPS://WWW.FACEBOOK.COM/WATCH/MUNICIPALIDAD.ANTOFAGASTA,No
2102,MEJILLONES,Entre 50 y menos de 100,Entre 50 y menos de 100,5,MOVISTAR,2023,158,No,Si,Si,No,Si,Si,No,No,No,PROPIO,CAS CHILE,No,No,Si,Si,Si,GOB.,No,No,No,No,No,Si,Si,Si,No,Si,Web municipal - Youtube,MEJILLONES TV - YOUTUBE,HTTPS://WWW.YOUTUBE.COM/PLAYLIST?LIST=PL7GCZD_CHJFLW3CBYDSOJA4XNFSYMUGAY,Si
2103,SIERRA GORDA,Entre 50 y menos de 100,Entre 50 y menos de 100,50,MOVISTAR,2023,150,No,Si,Si,Si,Si,Si,Si,No,No,EXTERNO,CAS CHILE,No,No,No,Si,No,PRIVADA,No,No,No,No,No,Si,No,No,No,Si,Facebook,COMUNICACIONES MUNISG,WWW.MUNICIPALIDADSIERRAGORDA.CL,No
2104,TALTAL,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado,No recepcionado
2201,CALAMA,Más de 100,Más de 100,350,MOVISTAR,2023 - 90 equipos,MAS de 700,No,Si,No,No,Si,Si,Si,Si,No,EXTERNO,INSICO,No,Si,No,No,No,No aplica,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Facebook,HTTPS://WWW.FACEBOOK.COM/MUNICALAMA,HTTPS://WWW.FACEBOOK.COM/MUNICALAMA,Si
2202,OLLAGÜE,Entre 50 y menos de 100,Entre 50 y menos de 100,10,ENTEL,2022 - 6 equipos,30,No,Si,Si,Si,No,No,No,No,No,EXTERNO,CAS CHILE,No,No,No,No,No,PRIVADA,No,No,No,No,No,Si,No,No,No,Si,Web municipal - Facebook,WWW.MUNICIPALIDADDEOLLAGUE.CL; FACEBOOK,HTTPS://WWW.FACEBOOK.COM/PROFILE.PHP?ID=100082688733149,No
2203,SAN PEDRO DE ATACAMA,Más de 100,Más de 100,170,ENTEL - MOVISTAR,2023 - 20 equipos,190,Si,Si,Si,Si,No,No,Si,Si,No,EXTERNO,CAS CHILE - ZECOBERY,Si,Si,Si,Si,Si,GOB.,No,Si,Si,Si,Si,Si,Si,No,No,Si,Youtube,@MUNISPAOFICIAL,YOUTUBE.COM/@MUNISPAOFICIAL,No
2301,TOCOPILLA,Más de 100,Más de 100,95,MOVISTAR,2023,158,No,Si,Si,No,Si,Si,Si,No,No,EXTERNO,CAS CHILE,No,No,No,No,Si,PRIVADA,No,No,No,Si,No,Si,Si,Si,Si,Si,Facebook,MUNICIPALIDAD TOCOPILLA,HTTPS:WWW.FACEBOOK.COM/MUNICIPALIDADTOCOPILLA/VIDEOS/1339931840029302,No
